epoch,train_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_f1,train_balanced_accuracy,val_loss,val_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_f1,val_balanced_accuracy
1,0.846989952955159,0.7972912469218715,0.24337322607451492,0.22964291376031015,0.22960334608581923,0.7901643395838436,0.22964291376031015,1.7548727513800215,0.5931520644511581,0.1585537327063656,0.15157404040205083,0.15109812930862956,0.5688685294670612,0.15157404040205083
2,0.13340750211219754,0.9653010969330647,0.5155226926600034,0.4445789342003905,0.4348012046999066,0.9570545258921688,0.4445789342003905,2.2812326540279484,0.595166163141994,0.24254966304549228,0.20657191255325524,0.21579701340599086,0.5704871018093823,0.20657191255325524
3,0.054521781542716426,0.9865681665547347,0.7478892593108316,0.7296923031426266,0.7280537251811862,0.984522298740067,0.7296923031426266,2.5470586624990657,0.6072507552870091,0.4268570527221255,0.3695786635557696,0.377048356667874,0.5828676058597902,0.3695786635557696
4,0.027777907031813216,0.9931721513319901,0.9723110363620022,0.8957822238299297,0.9084422934829275,0.9926147728749519,0.8957822238299297,2.8754736023006844,0.5931520644511581,0.39014721683962056,0.34928862105251224,0.3609246287634794,0.5702922048872135,0.34928862105251224
5,0.0208636645022517,0.9947391985672711,0.9888014757831752,0.9523684370108365,0.967018519969925,0.9946763381979583,0.9523684370108365,2.91994943095358,0.5961732124874118,0.39933564985981596,0.34228080769917174,0.3545906265339376,0.5745543206031113,0.34228080769917174
6,0.007149065986070519,0.9976494291470785,0.9920719501927052,0.9814428018573833,0.986386930175823,0.997640832017949,0.9814428018573833,3.2973051186414644,0.6032225579053374,0.4684127454325873,0.3848880879861,0.40403236440921625,0.5756318039815649,0.3848880879861
7,0.00785199200016719,0.9975374972017014,0.9976922258430925,0.9965622450395246,0.9970832640218403,0.9975371400033516,0.9965622450395246,3.31086684737921,0.5981873111782477,0.5332893784889771,0.4084778756629824,0.4359037530938806,0.5764217874256384,0.4084778756629824
8,0.008231561229771853,0.9982090888739646,0.9992954607408021,0.9976232110331902,0.9984452931237141,0.9982084771562195,0.9976232110331902,3.2880706967183833,0.5961732124874118,0.48139529957037636,0.3638790452934171,0.3872241439200607,0.5742252404171362,0.3638790452934171
9,0.005541544489021273,0.9986568166554735,0.9972973440252907,0.995954946526999,0.9965286800921023,0.9986562779778033,0.995954946526999,3.499577273294885,0.5931520644511581,0.44315395634431753,0.3585533000756237,0.3784371930843155,0.5670600916229359,0.3585533000756237
10,0.0009850447650367941,0.9997761361092455,0.9999136366352963,0.9999642329033249,0.9999389141953458,0.9997761630300729,0.9999642329033249,3.6056885762517186,0.594159113796576,0.44235669932319116,0.36199669511955646,0.3815263399756206,0.5719024083982057,0.36199669511955646
11,0.0020672570764855842,0.9995522722184912,0.9998480187670409,0.9999450179378977,0.9998964481337866,0.9995523062970377,0.9999450179378977,3.602534671564477,0.5911379657603223,0.4614691019234843,0.37913095662688295,0.3942221716106115,0.5693736395180355,0.37913095662688295
