split_ratio,ratio_dir,model_family,status,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,test_weighted_precision,test_weighted_recall,test_weighted_f1,test_balanced_accuracy,cv_mean_val_accuracy,cv_mean_val_macro_precision,cv_mean_val_macro_recall,cv_mean_val_macro_f1,cv_mean_val_weighted_f1,cv_mean_val_balanced_accuracy,cv_std_val_accuracy,cv_std_val_macro_precision,cv_std_val_macro_recall,cv_std_val_macro_f1,cv_std_val_weighted_f1,cv_std_val_balanced_accuracy,epochs_last_run,temporal_pair_count,temporal_pairs,removed_classes
80:20,D:\codex\study_pathway_hybrid_bundle\ratio_sweep_objective_allmetrics_2026-04-23\ratio_80_20,deepfm_temporal_tcn,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
80:20,D:\codex\study_pathway_hybrid_bundle\ratio_sweep_objective_allmetrics_2026-04-23\ratio_80_20,ft_transformer_gru_attention,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
80:20,D:\codex\study_pathway_hybrid_bundle\ratio_sweep_objective_allmetrics_2026-04-23\ratio_80_20,hybrid_tcn_lstm,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
80:20,D:\codex\study_pathway_hybrid_bundle\ratio_sweep_objective_allmetrics_2026-04-23\ratio_80_20,xgboost_temporal_gru,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
70:30,D:\codex\study_pathway_hybrid_bundle\ratio_sweep_objective_allmetrics_2026-04-23\ratio_70_30,deepfm_temporal_tcn,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
70:30,D:\codex\study_pathway_hybrid_bundle\ratio_sweep_objective_allmetrics_2026-04-23\ratio_70_30,ft_transformer_gru_attention,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
70:30,D:\codex\study_pathway_hybrid_bundle\ratio_sweep_objective_allmetrics_2026-04-23\ratio_70_30,hybrid_tcn_lstm,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
70:30,D:\codex\study_pathway_hybrid_bundle\ratio_sweep_objective_allmetrics_2026-04-23\ratio_70_30,xgboost_temporal_gru,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
60:40,D:\codex\study_pathway_hybrid_bundle\ratio_sweep_objective_allmetrics_2026-04-23\ratio_60_40,deepfm_temporal_tcn,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
60:40,D:\codex\study_pathway_hybrid_bundle\ratio_sweep_objective_allmetrics_2026-04-23\ratio_60_40,ft_transformer_gru_attention,completed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,8,0,,"INDUSTRIAL CONTROL AND AUTOMATION ENGINEERING, TEXTILE ENGINEERING"
